,YEAR,ALARM_DATE,GIS_ACRES,CAUSE,MONTH,DAY,MONTH_NAME
1222,2007,2007-06-01 00:00:00,1075.999,1 - Lightning,6,152,Jun
1208,2007,2007-06-01 00:00:00,517.5629,1 - Lightning,6,152,Jun
1708,2012,2012-06-01 00:00:00,1707.585,7 - Arson,6,153,Jun
1917,2015,2015-06-02 00:00:00,129.2855,14 - Unknown / Unidentified,6,153,Jun
1344,2008,2008-06-01 00:00:00,292.4784,9 - Miscellaneous,6,153,Jun
1971,2016,2016-06-01 00:00:00,1323.627,14 - Unknown / Unidentified,6,153,Jun
1538,2011,2011-06-02 00:00:00,102.8208,9 - Miscellaneous,6,153,Jun
1786,2013,2013-06-03 00:00:00,100.1428,8 - Playing with fire,6,154,Jun
1236,2007,2007-06-03 00:00:00,4196.017,9 - Miscellaneous,6,154,Jun
1408,2009,2009-06-03 00:00:00,166.3999,1 - Lightning,6,154,Jun
1130,2006,2006-06-04 00:00:00,1090.188,9 - Miscellaneous,6,155,Jun
1289,2008,2008-06-03 00:00:00,146.2468,14 - Unknown / Unidentified,6,155,Jun
1588,2011,2011-06-05 00:00:00,185.4253,9 - Miscellaneous,6,156,Jun
2007,2016,2016-06-04 00:00:00,2522.639,5 - Debris,6,156,Jun
1244,2007,2007-06-05 00:00:00,698.972,4 - Campfire,6,156,Jun
1965,2016,2016-06-04 00:00:00,465.7808,2 - Equipment Use,6,156,Jun
1515,2011,2011-06-05 00:00:00,151.0212,14 - Unknown / Unidentified,6,156,Jun
1857,2015,2015-06-05 00:00:00,410.6794,14 - Unknown / Unidentified,6,156,Jun
1725,2013,2013-06-06 00:00:00,3779.732,4 - Campfire,6,157,Jun
1977,2016,2016-06-05 00:00:00,139.9618,14 - Unknown / Unidentified,6,157,Jun
1299,2008,2008-06-05 00:00:00,319.5645,2 - Equipment Use,6,157,Jun
0,2017,2017-06-07 00:00:00,340.5638,2 - Equipment Use,6,158,Jun
72,2017,2017-06-08 00:00:00,105.0879,14 - Unknown / Unidentified,6,159,Jun
1288,2008,2008-06-07 00:00:00,356.7205,9 - Miscellaneous,6,159,Jun
1480,2009,2009-06-08 00:00:00,1653.488,1 - Lightning,6,159,Jun
2013,2016,2016-06-07 00:00:00,2857.175,1 - Lightning,6,159,Jun
1120,2006,2006-06-09 00:00:00,363.407,1 - Lightning,6,160,Jun
1521,2011,2011-06-09 00:00:00,294.4362,14 - Unknown / Unidentified,6,160,Jun
1934,2015,2015-06-09 00:00:00,1542.967,1 - Lightning,6,160,Jun
1661,2012,2012-06-08 00:00:00,488.7408,2 - Equipment Use,6,160,Jun
1225,2007,2007-06-10 00:00:00,213.1162,14 - Unknown / Unidentified,6,161,Jun
1752,2013,2013-06-10 00:00:00,225.7149,1 - Lightning,6,161,Jun
1803,2014,2014-06-10 00:00:00,111.3319,5 - Debris,6,161,Jun
46,2017,2017-06-10 00:00:00,1428.533,9 - Miscellaneous,6,161,Jun
842,1951,1951-06-10 00:00:00,329.9185,4 - Campfire,6,161,Jun
1298,2008,2008-06-10 00:00:00,815.3442,14 - Unknown / Unidentified,6,162,Jun
1639,2012,2012-06-10 00:00:00,118.7185,4 - Campfire,6,162,Jun
980,1986,1986-06-11 00:00:00,2040.238,1 - Lightning,6,162,Jun
1345,2008,2008-06-10 00:00:00,958.4999,2 - Equipment Use,6,162,Jun
1337,2008,2008-06-10 00:00:00,1334.334,7 - Arson,6,162,Jun
424,1918,1918-06-12 00:00:00,1747.707,1 - Lightning,6,163,Jun
1292,2008,2008-06-11 00:00:00,482.7904,4 - Campfire,6,163,Jun
1637,2012,2012-06-11 00:00:00,130.0695,14 - Unknown / Unidentified,6,163,Jun
1346,2008,2008-06-11 00:00:00,23344.33,7 - Arson,6,163,Jun
1149,2006,2006-06-12 00:00:00,148.2894,9 - Miscellaneous,6,163,Jun
1375,2008,2008-06-12 00:00:00,7783.408,9 - Miscellaneous,6,164,Jun
1991,2016,2016-06-12 00:00:00,109.7021,1 - Lightning,6,164,Jun
1824,2014,2014-06-13 00:00:00,2546.165,9 - Miscellaneous,6,164,Jun
1257,2007,2007-06-13 00:00:00,386.4487,4 - Campfire,6,164,Jun
1761,2013,2013-06-13 00:00:00,179.7226,14 - Unknown / Unidentified,6,164,Jun
1060,2001,2001-06-13 00:00:00,1796.567,14 - Unknown / Unidentified,6,164,Jun
906,1960,1960-06-12 00:00:00,639.0209,9 - Miscellaneous,6,164,Jun
8,2017,2017-06-14 00:00:00,147.667,11 - Powerline,6,165,Jun
1759,2013,2013-06-15 00:00:00,109.2949,14 - Unknown / Unidentified,6,166,Jun
1681,2012,2012-06-14 00:00:00,168.4775,14 - Unknown / Unidentified,6,166,Jun
856,1953,1953-06-15 00:00:00,975.4569,14 - Unknown / Unidentified,6,166,Jun
929,1969,1969-06-15 00:00:00,200.0543,14 - Unknown / Unidentified,6,166,Jun
2008,2016,2016-06-15 00:00:00,7465.751,9 - Miscellaneous,6,167,Jun
1773,2013,2013-06-16 00:00:00,1707.613,4 - Campfire,6,167,Jun
579,1924,1924-06-15 00:00:00,1033.463,14 - Unknown / Unidentified,6,167,Jun
1751,2013,2013-06-16 00:00:00,481.9571,10 - Vehicle,6,167,Jun
158,2017,2017-06-16 00:00:00,143.6004,10 - Vehicle,6,167,Jun
1250,2007,2007-06-17 00:00:00,110.625,2 - Equipment Use,6,168,Jun
1645,2012,2012-06-16 00:00:00,2177.426,9 - Miscellaneous,6,168,Jun
879,1957,1957-06-17 00:00:00,282.1265,14 - Unknown / Unidentified,6,168,Jun
1719,2012,2012-06-16 00:00:00,1704.926,1 - Lightning,6,168,Jun
1891,2015,2015-06-17 00:00:00,264.5698,1 - Lightning,6,168,Jun
1466,2009,2009-06-17 00:00:00,1333.441,1 - Lightning,6,168,Jun
65,2017,2017-06-17 00:00:00,733.2616,14 - Unknown / Unidentified,6,168,Jun
1870,2015,2015-06-17 00:00:00,170.9495,14 - Unknown / Unidentified,6,168,Jun
1895,2015,2015-06-17 00:00:00,31284.44,9 - Miscellaneous,6,168,Jun
118,2017,2017-06-18 00:00:00,1522.259,9 - Miscellaneous,6,169,Jun
1651,2012,2012-06-17 00:00:00,376.149,2 - Equipment Use,6,169,Jun
2015,2016,2016-06-17 00:00:00,209.5521,14 - Unknown / Unidentified,6,169,Jun
1897,2015,2015-06-18 00:00:00,498.9207,2 - Equipment Use,6,169,Jun
1633,2012,2012-06-18 00:00:00,206.0988,14 - Unknown / Unidentified,6,170,Jun
1121,2006,2006-06-19 00:00:00,14922.99,1 - Lightning,6,170,Jun
737,1935,1935-06-19 00:00:00,164.2539,14 - Unknown / Unidentified,6,170,Jun
1454,2009,2009-06-19 00:00:00,1988.681,11 - Powerline,6,170,Jun
142,2017,2017-06-19 00:00:00,1505.491,9 - Miscellaneous,6,170,Jun
1542,2011,2011-06-19 00:00:00,162.7898,2 - Equipment Use,6,170,Jun
1550,2011,2011-06-19 00:00:00,5068.753,14 - Unknown / Unidentified,6,170,Jun
1947,2016,2016-06-19 00:00:00,7606.026,14 - Unknown / Unidentified,6,171,Jun
1367,2008,2008-06-19 00:00:00,247.9303,1 - Lightning,6,171,Jun
1709,2012,2012-06-19 00:00:00,385.1862,9 - Miscellaneous,6,171,Jun
1369,2008,2008-06-19 00:00:00,1777.426,1 - Lightning,6,171,Jun
1385,2008,2008-06-19 00:00:00,358.444,1 - Lightning,6,171,Jun
2002,2016,2016-06-20 00:00:00,1146.539,2 - Equipment Use,6,172,Jun
1568,2011,2011-06-21 00:00:00,3138.897,14 - Unknown / Unidentified,6,172,Jun
1869,2015,2015-06-21 00:00:00,134.0251,5 - Debris,6,172,Jun
1307,2008,2008-06-20 00:00:00,145.8782,1 - Lightning,6,172,Jun
2003,2016,2016-06-20 00:00:00,4245.794,9 - Miscellaneous,6,172,Jun
1291,2008,2008-06-20 00:00:00,594.2645,10 - Vehicle,6,172,Jun
1372,2008,2008-06-20 00:00:00,4922.912,1 - Lightning,6,172,Jun
1315,2008,2008-06-20 00:00:00,729.3351,1 - Lightning,6,172,Jun
1963,2016,2016-06-20 00:00:00,107.7305,2 - Equipment Use,6,172,Jun
1303,2008,2008-06-21 00:00:00,5354.216,1 - Lightning,6,173,Jun
946,1973,1973-06-22 00:00:00,201.0505,14 - Unknown / Unidentified,6,173,Jun
1333,2008,2008-06-21 00:00:00,141.4437,1 - Lightning,6,173,Jun
1328,2008,2008-06-21 00:00:00,391.3163,1 - Lightning,6,173,Jun
1326,2008,2008-06-21 00:00:00,6927.816,1 - Lightning,6,173,Jun
1095,2005,2005-06-22 00:00:00,7157.852,1 - Lightning,6,173,Jun
1320,2008,2008-06-21 00:00:00,228.3133,1 - Lightning,6,173,Jun
